"","RSSobs","Pvalue"
"1",0.000616906133754795,"<0.049"
"2",0.00039310426673022,"0.882"
"3",1.52266283956964e-06,"1"
"5",9.02170652816262e-06,"1"
"6",2.75782745444843e-06,"1"
"7",0.000636027232066766,"1"
"8",5.3090635931667e-05,"1"
"9",0.00274081010599481,"1"
"10",1.10271440841095e-05,"1"
"11",8.90529227760487e-05,"1"
"12",4.40902112183033e-05,"1"
"13",1.24505546875107e-05,"1"
"14",0.000237903157480443,"1"
"15",0.000119253374200647,"1"
"16",6.44456594544125e-06,"1"
"17",0.00111556043732976,"<0.049"
"18",0.000295875913244071,"1"
"19",0.000299296775163705,"1"
"20",0.000229121806786409,"1"
"21",2.51887786651747e-05,"1"
"22",7.02498478810174e-05,"1"
"23",0.00016630682007438,"1"
"24",5.74655307910197e-05,"1"
"25",0.00230681655838311,"1"
"26",0.000243416307760202,"1"
"27",0.00127558728282506,"0.049"
"28",0.000566283786990721,"1"
"29",0.000255336215148623,"1"
"30",2.00339623741927e-05,"1"
"31",0.000294991758611079,"1"
"33",4.80826664806945e-05,"1"
"34",4.15678292667963e-05,"1"
"35",1.13217427150648e-07,"1"
"36",0.000796076598398188,"1"
"37",0.000527496965552332,"0.245"
"39",0.000100117656364706,"1"
"40",2.74925604526087e-05,"1"
"41",0.000245127278237141,"1"
"42",3.36577077069005e-05,"1"
"43",2.16739205455253e-05,"1"
"44",0.00182665994027923,"<0.049"
"45",4.89187736836333e-05,"1"
"46",0.0155506599310462,"<0.049"
"47",0.000293140765163171,"1"
"48",1.67062929758147e-07,"1"
"49",0.000229016198076839,"1"
"50",0.000350109139973566,"1"
"51",5.09065517187425e-05,"1"
"52",0.000111066141970238,"1"
